"","C42_1","C42B_1","LNCAP_1","MR49F_1","C42_2","C42B_2","LNCAP_2","MR49F_2","C42_3","C42B_3","LNCAP_3","MR49F_3"
"ENSG00000150433",4,10,109,77,51,49,17,39,138,51,578,11
"ENSG00000150455",3,3,29,42,5,5,2,28,21,13,177,6
"ENSG00000150456",0,2,6,13,1,4,6,0,12,2,80,0
"ENSG00000150457",1,7,2,36,31,1,15,18,40,67,94,2
"ENSG00000150459",34,94,81,395,117,34,48,284,227,388,221,34
"ENSG00000150477",2,4,3,28,6,1,2,11,7,11,87,1
"ENSG00000150510",0,1,0,0,1,1,0,1,10,4,26,0
"ENSG00000150527",2,14,6,24,3,5,2,12,2,0,74,2
"ENSG00000150556",0,7,0,1,2,1,0,2,0,2,4,0
"ENSG00000150593",34,119,938,132,212,27,36,60,389,241,2070,73
"ENSG00000150594",8,2,11,0,35,0,1,13,48,3,185,1
"ENSG00000150627",0,4,0,12,0,6,0,7,1,26,0,1
"ENSG00000150636",0,0,0,2,1,0,0,3,1,1,24,0
"ENSG00000150637",0,0,0,0,2,0,0,0,3,0,3,0
"ENSG00000150667",0,2,1,5,0,1,0,0,1,1,51,0
"ENSG00000150672",2,11,82,4,7,0,3,0,19,0,124,0
"ENSG00000150676",1,3,0,0,11,0,0,1,0,0,15,0
"ENSG00000150687",3,33,31,10,14,6,5,23,95,25,120,3
"ENSG00000150712",97,33,48,585,81,11,35,41,276,147,1145,29
"ENSG00000150753",130,535,878,1096,1798,116,259,518,1139,97,3436,80
"ENSG00000150756",10,29,82,9,149,5,8,104,84,34,335,16
"ENSG00000150760",42,28,56,191,36,7,21,8,86,52,573,31
"ENSG00000150764",0,10,63,11,1,1,6,21,18,4,124,2
"ENSG00000150768",52,299,298,163,537,61,70,274,73,308,2433,99
"ENSG00000150773",4,6,3,19,0,1,1,16,2,2,107,4
"ENSG00000150776",24,14,42,41,5,26,21,142,84,33,653,14
"ENSG00000150779",12,21,40,39,60,27,31,28,79,69,906,9
"ENSG00000150787",24,14,55,5,12,14,2,7,157,40,80,4
"ENSG00000150867",11,9,39,10,430,6,3,52,51,30,18,3
"ENSG00000150907",2,12,3,9,140,1,2,2,24,2,13,2
"ENSG00000150938",1,14,13,54,111,3,2,30,11,43,14,4
"ENSG00000150961",4,4,22,71,581,7,7,5,28,18,40,3
"ENSG00000150967",2,72,29,53,207,3,3,23,31,169,59,1
"ENSG00000150977",1,3,31,36,100,4,7,24,11,166,8,3
"ENSG00000150990",2,25,54,47,512,9,12,18,71,76,57,2
"ENSG00000150991",134,1690,1308,1722,9401,253,107,1947,4530,455,1056,79
"ENSG00000150995",2,65,21,61,431,4,5,7,54,31,50,1
"ENSG00000151006",3,4,7,6,114,3,1,8,9,4,1,1
"ENSG00000151012",57,72,818,502,3605,31,48,228,524,8,270,47
"ENSG00000151014",1,33,2,53,103,10,4,48,9,1,6,4
"ENSG00000151025",10,4,72,80,1496,1,51,34,215,7,45,18
"ENSG00000151065",2,5,21,39,162,16,3,8,22,97,10,1
"ENSG00000151090",7,33,41,27,552,12,45,82,43,61,49,26
"ENSG00000151092",28,94,95,220,750,33,4,104,30,118,64,16
"ENSG00000151093",5,28,136,159,450,10,10,357,90,25,100,9
"ENSG00000151116",20,26,160,74,666,3,3,83,82,53,51,17
"ENSG00000151117",4,13,20,13,163,3,2,14,22,5,4,6
"ENSG00000151131",4,28,37,32,423,15,4,76,73,113,36,11
"ENSG00000151135",7,22,124,106,812,94,8,77,61,98,64,39
"ENSG00000151136",0,10,0,9,11,0,0,3,0,0,0,0
"ENSG00000151148",21,46,118,179,672,3,12,81,8,52,118,10
"ENSG00000151150",45,574,583,414,5505,264,126,38,2421,199,288,24
"ENSG00000151151",4,10,40,86,265,18,8,49,27,63,74,2
"ENSG00000151164",0,5,4,2,61,0,0,1,3,2,1,0
"ENSG00000151176",20,160,112,162,1428,24,9,15,513,131,50,7
"ENSG00000151208",34,19,158,124,2194,31,78,483,292,397,531,42
"ENSG00000151224",2,2,1,0,108,0,0,0,25,4,0,0
"ENSG00000151229",1,14,0,29,70,1,6,15,8,8,1,3
"ENSG00000151233",8,191,353,128,1170,19,22,108,153,151,239,2
"ENSG00000151239",23,69,532,320,1652,128,13,151,151,140,141,29
"ENSG00000151240",6,73,77,145,84,23,10,28,14,8,33,8
"ENSG00000151247",11,8,32,68,39,2,18,35,63,16,22,5
"ENSG00000151276",8,57,52,162,52,21,26,21,59,64,151,11
"ENSG00000151287",5,42,23,6,35,6,1,29,46,20,43,3
"ENSG00000151292",12,31,230,138,88,12,16,208,50,113,143,14
"ENSG00000151304",28,35,56,101,118,5,11,24,31,1,4,21
"ENSG00000151320",0,4,20,15,15,0,0,27,3,10,9,0
"ENSG00000151327",19,95,99,215,121,26,37,53,216,128,45,16
"ENSG00000151332",3,407,15,37,17,3,2,11,29,22,30,3
"ENSG00000151338",4,9,233,331,45,22,11,107,52,82,69,31
"ENSG00000151348",25,80,162,247,117,62,29,53,195,60,192,14
"ENSG00000151353",17,8,418,183,109,13,11,108,56,165,7,5
"ENSG00000151366",7,14,127,48,126,24,7,100,6,16,23,5
"ENSG00000151413",17,15,18,40,35,5,5,6,42,52,45,3
"ENSG00000151414",24,36,91,247,80,48,22,31,32,325,96,35
"ENSG00000151422",4,16,15,6,47,3,16,41,33,37,12,3
"ENSG00000151445",5,60,37,11,28,5,7,243,9,130,42,7
"ENSG00000151458",3,10,3,12,59,2,5,47,54,62,5,7
"ENSG00000151461",10,36,66,176,153,73,20,56,16,648,85,10
"ENSG00000151465",13,54,194,130,175,36,22,362,336,20,312,26
"ENSG00000151466",5,18,7,36,35,6,5,46,46,13,75,4
"ENSG00000151468",0,12,0,0,0,1,0,0,0,15,0,0
"ENSG00000151470",2,9,9,39,28,3,4,13,29,24,4,1
"ENSG00000151474",0,29,0,0,2,1,0,0,1,4,0,0
"ENSG00000151491",2,38,11,59,136,17,3,13,6,46,35,3
"ENSG00000151498",47,106,25,494,96,20,18,223,230,236,68,11
"ENSG00000151500",9,37,83,60,113,5,16,41,172,4,60,6
"ENSG00000151502",12,738,386,265,449,15,15,104,24,701,409,41
"ENSG00000151503",20,339,127,298,297,8,19,86,437,179,130,13
"ENSG00000151532",7,58,12,68,19,6,3,29,21,176,15,2
"ENSG00000151552",4,6,69,36,14,5,6,7,75,88,20,18
"ENSG00000151553",12,26,29,17,163,50,26,100,141,14,67,14
"ENSG00000151572",0,2,0,0,0,0,0,0,0,0,0,0
"ENSG00000151575",2,12,52,16,9,5,0,21,14,28,7,9
"ENSG00000151576",30,41,86,289,34,15,13,129,209,24,209,15
"ENSG00000151611",2,4,2,43,11,1,4,31,11,23,30,5
"ENSG00000151612",4,9,48,180,54,33,6,46,40,7,9,3
"ENSG00000151623",1,3,41,41,18,1,1,27,19,13,3,5
"ENSG00000151632",0,0,0,0,6,0,0,0,12,0,0,0
"ENSG00000151640",1,3,8,6,15,0,0,1,13,8,3,0
"ENSG00000151651",3,4,0,27,8,1,2,1,9,28,1,0
"ENSG00000151657",6,16,9,60,22,6,7,16,30,37,4,1
"ENSG00000151665",23,61,61,35,23,11,4,31,66,13,2,3
"ENSG00000151687",1,7,2,2,15,0,0,1,3,10,8,1
"ENSG00000151690",28,37,43,207,45,206,9,69,67,347,6,22
"ENSG00000151692",2,6,42,9,46,2,7,26,30,158,5,1
"ENSG00000151693",2,278,24,93,121,5,11,32,58,145,5,13
"ENSG00000151694",16,66,53,99,35,7,12,135,63,38,5,12
"ENSG00000151715",18,4,32,7,142,0,3,1,196,0,9,0
"ENSG00000151718",4,6,1,0,39,0,0,0,11,16,2,0
"ENSG00000151725",18,25,96,151,224,59,10,53,163,135,7,4
"ENSG00000151726",95,63,262,132,356,18,44,420,321,45,14,21
"ENSG00000151729",27,36,24,14,113,34,24,187,89,20,38,8
"ENSG00000151743",0,21,21,19,7,2,2,15,10,13,3,1
"ENSG00000151746",16,47,193,99,78,7,50,37,34,36,48,6
"ENSG00000151748",3,10,9,15,9,14,42,35,4,45,78,45
"ENSG00000151773",1,2,5,18,83,0,2,23,11,2,0,1
"ENSG00000151779",5,22,86,21,55,24,6,40,54,107,35,6
"ENSG00000151806",10,290,137,43,73,15,10,157,167,102,37,32
"ENSG00000151835",4,75,9,133,63,10,7,240,172,39,88,11
"ENSG00000151846",8,122,56,155,84,102,4,85,34,25,12,6
"ENSG00000151849",9,28,44,160,206,15,1,48,169,22,27,5
"ENSG00000151876",0,6,8,55,5,1,3,50,2,2,7,9
"ENSG00000151881",4,65,32,117,48,12,7,99,65,24,42,7
"ENSG00000151883",3,32,24,1,10,3,3,2,6,32,4,0
"ENSG00000151893",23,17,169,56,210,13,4,140,100,213,85,6
"ENSG00000151914",10,310,3,48,40,12,12,20,84,94,10,6
"ENSG00000151923",19,56,226,511,403,35,30,375,25,81,175,18
"ENSG00000151929",8,69,70,58,138,11,19,36,66,99,84,5
"ENSG00000151948",0,2,0,0,0,0,0,0,0,8,0,0
"ENSG00000152056",3,4,8,42,49,2,5,3,88,42,10,2
"ENSG00000152061",6,44,8,57,3,2,2,34,45,46,10,7
"ENSG00000152076",0,5,2,16,2,1,1,18,3,10,1,2
"ENSG00000152078",12,30,25,132,98,2,6,130,39,110,114,7
"ENSG00000152082",3,8,7,67,3,3,16,9,6,31,11,5
"ENSG00000152086",0,0,0,0,14,0,0,2,3,0,0,0
"ENSG00000152092",0,2,0,11,0,4,0,3,0,18,0,0
"ENSG00000152102",29,239,173,605,138,13,34,213,580,386,314,56
"ENSG00000152104",1,21,74,2,6,3,3,22,33,28,7,6
"ENSG00000152117",22,46,18,26,91,11,17,114,35,297,13,26
"ENSG00000152127",8,300,105,236,77,24,11,167,238,247,189,15
"ENSG00000152128",1,3,0,1,7,9,0,8,1,7,1,2
"ENSG00000152133",1,37,21,112,44,3,11,70,89,55,2,37
"ENSG00000152137",0,6,0,1,0,1,0,1,2,1,0,0
"ENSG00000152147",1,5,31,75,21,6,1,52,14,11,6,6
"ENSG00000152192",0,1,1,13,10,0,0,12,3,5,0,0
"ENSG00000152193",3,24,57,46,65,7,8,42,52,41,14,2
"ENSG00000152217",2,6,10,80,17,1,12,65,27,7,14,5
"ENSG00000152219",3,20,31,33,19,24,8,80,80,16,15,9
"ENSG00000152223",2,17,26,15,139,6,7,24,82,45,102,26
"ENSG00000152229",0,6,1,0,7,3,1,0,7,5,0,0
"ENSG00000152234",197,174,2300,3437,1778,103,468,1450,1614,1111,2475,90
"ENSG00000152240",4,24,27,83,83,3,8,38,27,11,14,13
"ENSG00000152242",10,13,117,77,193,12,35,17,13,96,30,3
"ENSG00000152253",2,80,4,65,31,1,6,29,51,98,14,5
"ENSG00000152256",4,102,67,363,39,28,7,228,19,107,59,39
"ENSG00000152270",13,10,59,162,161,12,11,73,72,15,27,86
"ENSG00000152284",0,1,0,1,0,1,0,0,0,4,0,0
"ENSG00000152291",98,358,67,303,449,307,16,404,202,638,69,95
"ENSG00000152332",79,640,109,387,720,147,53,830,514,919,1161,121
"ENSG00000152348",1,1,36,45,48,1,2,17,20,2,6,5
"ENSG00000152359",2,8,8,78,61,5,3,60,44,6,3,6
"ENSG00000152377",0,7,0,62,4,0,0,166,3,3,1,7
"ENSG00000152380",0,0,3,5,0,1,1,10,12,4,2,0
"ENSG00000152382",11,20,144,40,56,3,10,55,60,54,11,4
"ENSG00000152402",0,0,3,2,8,0,0,3,5,0,0,0
"ENSG00000152404",2,12,13,67,14,5,2,7,30,3,7,2
"ENSG00000152409",3,14,202,22,179,4,22,50,57,18,22,18
"ENSG00000152413",4,95,13,572,57,7,7,53,87,12,12,10
"ENSG00000152422",3,5,2,24,4,1,1,4,13,26,1,1
"ENSG00000152433",1,9,5,16,21,0,1,10,1,6,4,1
"ENSG00000152439",3,4,93,27,26,0,5,14,26,4,6,3
"ENSG00000152443",3,13,25,117,176,4,1,7,65,31,85,8
"ENSG00000152454",0,5,6,33,14,0,3,25,12,9,3,2
"ENSG00000152455",5,11,51,47,117,5,5,7,75,73,25,2
"ENSG00000152457",6,26,11,7,10,12,0,2,17,21,9,0
"ENSG00000152464",4,16,8,43,53,7,5,5,20,44,41,10
"ENSG00000152465",2,29,17,107,27,7,3,22,70,31,23,3
"ENSG00000152475",0,0,2,1,0,0,0,0,0,0,1,0
"ENSG00000152484",10,62,61,158,244,22,5,71,54,23,20,7
"ENSG00000152492",16,164,575,288,151,44,10,121,64,145,134,4
"ENSG00000152503",8,9,13,108,140,9,4,70,153,40,1,7
"ENSG00000152518",2,36,19,49,17,3,6,6,44,69,17,11
"ENSG00000152520",45,43,16,187,351,27,16,72,261,107,42,25
"ENSG00000152527",1,8,2,4,3,1,0,0,1,3,0,0
"ENSG00000152556",46,217,211,75,448,114,65,439,359,983,178,50
"ENSG00000152558",37,167,553,533,361,72,104,432,312,697,238,43
"ENSG00000152582",0,28,1,13,8,1,1,6,8,7,1,0
"ENSG00000152601",13,197,1181,106,222,164,32,62,601,66,24,125
"ENSG00000152620",27,148,467,65,168,17,35,76,170,250,259,50
"ENSG00000152642",8,37,42,134,143,26,14,107,29,75,33,8
"ENSG00000152669",0,3,0,6,3,0,0,9,6,0,0,0
"ENSG00000152683",15,19,109,112,117,23,92,120,228,388,36,28
"ENSG00000152684",8,47,192,13,102,5,14,58,78,40,22,18
"ENSG00000152700",73,112,452,723,230,21,171,133,880,234,84,33
"ENSG00000152749",5,12,85,22,89,6,5,77,101,21,16,24
"ENSG00000152763",0,0,0,3,4,0,0,0,3,0,0,0
"ENSG00000152766",2,0,6,7,6,3,0,2,9,10,2,0
"ENSG00000152767",6,25,11,21,40,4,10,8,54,30,7,2
"ENSG00000152778",0,18,14,24,11,1,7,116,3,10,4,6
"ENSG00000152782",3,19,32,11,10,2,3,35,13,17,19,4
"ENSG00000152795",53,90,1425,109,957,100,48,721,591,729,262,69
"ENSG00000152818",7,80,186,357,410,35,58,149,67,86,132,8
"ENSG00000152894",8,22,12,27,77,6,4,35,6,28,44,3
"ENSG00000152904",13,37,76,107,41,5,5,82,39,148,135,7
"ENSG00000152910",1,4,0,1,21,2,0,5,30,14,0,0
"ENSG00000152926",0,2,13,16,35,2,0,8,33,35,7,0
"ENSG00000152931",1,3,1,15,6,0,1,10,9,0,1,4
"ENSG00000152939",62,53,613,63,112,8,17,20,129,79,51,12
"ENSG00000152942",7,60,60,244,91,59,13,149,133,73,316,58
"ENSG00000152944",9,6,58,129,89,44,4,35,47,215,13,9
"ENSG00000152952",6,4,1,8,99,0,0,12,31,4,0,1
"ENSG00000152953",0,1,0,0,0,0,0,0,0,0,0,0
"ENSG00000152969",0,32,5,11,4,2,0,9,16,7,2,1
"ENSG00000152990",11,57,35,35,51,10,32,119,51,19,65,6
"ENSG00000153006",9,8,9,168,93,23,7,9,14,44,2,5
"ENSG00000153012",2,2,73,122,26,3,4,59,12,26,9,25
"ENSG00000153015",33,3,9,38,5,4,2,38,17,38,10,3
"ENSG00000153029",2,46,7,5,14,19,1,6,14,32,17,0
"ENSG00000153037",3,128,25,88,23,8,7,129,20,94,9,12
"ENSG00000153044",12,35,17,63,70,10,9,48,31,19,27,4
"ENSG00000153046",4,160,25,106,302,3,9,81,25,58,31,2
"ENSG00000153048",13,93,137,23,73,9,6,56,11,57,4,2
"ENSG00000153064",13,2,9,9,67,0,1,2,36,9,8,3
"ENSG00000153066",16,524,57,38,235,12,11,47,277,44,31,4
"ENSG00000153093",0,2,0,0,3,0,0,0,5,11,5,0
"ENSG00000153094",6,15,64,21,64,10,16,82,66,35,10,5
"ENSG00000153107",4,46,27,25,98,37,9,82,45,57,18,4
"ENSG00000153113",27,246,45,436,251,11,13,58,75,370,31,37
"ENSG00000153130",59,113,117,343,396,12,135,67,398,304,527,114
"ENSG00000153132",15,12,364,68,145,9,76,494,315,67,161,100
"ENSG00000153140",22,55,14,37,151,31,12,11,78,82,7,7
"ENSG00000153147",6,471,748,296,283,61,8,1176,16,75,77,32
"ENSG00000153157",0,0,0,0,4,0,0,0,0,0,0,0
"ENSG00000153162",1,1,0,1,4,1,0,18,26,8,0,4
"ENSG00000153179",30,131,541,2068,409,95,218,853,561,873,291,137
"ENSG00000153187",178,2736,120,2695,1464,508,275,784,3178,604,213,267
"ENSG00000153201",58,91,522,1413,1056,223,420,578,57,655,40,65
"ENSG00000153207",19,188,844,492,54,34,9,65,51,168,5,43
"ENSG00000153208",3,38,3,2,24,16,1,19,15,34,1,0
"ENSG00000153214",39,66,30,163,148,38,59,119,122,637,15,10
"ENSG00000153233",1,5,13,3,8,5,0,2,5,17,6,1
"ENSG00000153234",0,3,0,2,0,0,0,2,12,5,0,0
"ENSG00000153237",0,5,4,2,0,1,0,0,2,1,2,0
"ENSG00000153291",3,46,11,39,57,2,8,37,31,27,7,3
"ENSG00000153292",0,2,0,0,4,1,0,0,4,2,0,0
"ENSG00000153294",0,0,0,0,8,0,0,0,6,0,0,0
"ENSG00000153310",12,40,31,104,228,12,9,66,19,138,12,7
"ENSG00000153317",86,133,56,195,129,108,7,226,31,53,45,7
"ENSG00000153339",5,56,102,176,111,112,13,49,80,249,39,11
"ENSG00000153363",4,39,49,26,125,6,10,19,26,14,16,16
"ENSG00000153391",2,2,61,53,14,1,3,13,26,19,11,8
"ENSG00000153395",22,8,55,976,374,12,17,214,210,127,54,28
"ENSG00000153404",0,1,0,0,0,0,0,1,0,5,0,0
"ENSG00000153406",29,32,100,316,101,29,9,132,164,101,17,10
"ENSG00000153443",43,4,14,7,37,7,3,24,20,5,4,0
"ENSG00000153446",0,2,0,1,0,1,0,0,0,3,0,0
"ENSG00000153485",30,11,61,60,13,15,5,70,6,51,16,7
"ENSG00000153487",3,7,15,9,4,5,7,0,21,21,0,1
"ENSG00000153531",1,13,122,15,11,1,6,4,37,24,10,1
"ENSG00000153551",5,15,46,31,4,2,0,6,4,3,3,0
"ENSG00000153558",0,3,10,5,0,0,0,5,13,3,1,0
"ENSG00000153560",35,83,312,1176,68,122,36,386,104,260,138,337
"ENSG00000153561",7,550,122,80,70,84,226,38,51,97,289,43
"ENSG00000153563",0,2,0,0,10,0,0,0,3,2,0,0
"ENSG00000153574",8,19,28,8,20,8,4,85,5,9,1,24
"ENSG00000153721",5,14,47,25,50,3,114,25,41,44,5,3
"ENSG00000153767",8,106,67,54,15,49,15,27,123,311,28,26
"ENSG00000153774",14,33,23,18,127,8,14,28,44,15,23,4
"ENSG00000153786",13,65,23,23,175,7,10,98,114,117,73,14
"ENSG00000153790",0,24,0,0,1,2,0,0,1,1,0,0
"ENSG00000153814",0,2,1,0,2,0,0,3,4,5,1,0
"ENSG00000153815",7,79,62,84,23,4,3,45,139,6,7,2
"ENSG00000153827",81,564,112,59,1295,109,32,265,92,416,178,14
"ENSG00000153832",1,10,3,1,10,0,0,4,5,11,1,0
"ENSG00000153879",8,1,56,437,62,6,40,98,53,88,151,57
"ENSG00000153885",7,30,41,115,112,12,15,98,51,103,17,9
"ENSG00000153896",8,9,18,18,27,0,22,9,2,9,10,3
"ENSG00000153898",10,7,22,42,18,3,7,49,107,35,2,3
"ENSG00000153904",25,62,337,120,93,51,63,275,200,176,62,24
"ENSG00000153914",22,120,138,484,583,72,77,91,344,26,117,22
"ENSG00000153922",5,32,51,106,60,13,63,277,23,153,15,19
"ENSG00000153933",38,94,130,207,148,9,20,58,413,153,22,6
"ENSG00000153936",22,33,277,52,288,9,5,17,262,117,8,16
"ENSG00000153944",18,253,66,1014,350,22,25,283,43,189,7,23
"ENSG00000153975",14,37,26,27,34,7,9,61,34,38,14,9
"ENSG00000153982",2,50,16,37,15,1,2,16,59,33,6,1
"ENSG00000153989",2,80,34,65,99,28,12,187,55,194,25,9
"ENSG00000154001",6,234,129,124,57,19,6,229,41,292,106,23
"ENSG00000154027",1,23,2,6,22,1,0,0,20,2,0,1
"ENSG00000154059",15,294,202,225,105,26,22,235,148,20,22,22
"ENSG00000154065",3,8,0,67,13,6,1,52,122,26,3,5
"ENSG00000154079",0,7,27,4,56,0,1,6,22,1,4,2
"ENSG00000154099",0,2,0,10,0,0,0,2,0,2,0,0
"ENSG00000154102",0,0,3,2,8,0,0,0,1,10,0,0
"ENSG00000154114",9,39,87,33,15,23,13,141,106,72,51,5
"ENSG00000154122",11,6,212,554,89,9,30,255,460,42,10,16
"ENSG00000154124",6,23,71,233,4,49,19,137,83,142,16,10
"ENSG00000154127",0,0,0,0,0,0,0,5,0,27,0,0
"ENSG00000154134",1,19,15,19,8,5,2,8,32,4,7,1
"ENSG00000154144",47,34,48,65,145,42,19,140,330,12,35,23
"ENSG00000154146",0,1,1,1,1,0,0,1,1,10,0,0
"ENSG00000154153",7,10,497,99,45,5,13,298,172,73,24,18
"ENSG00000154162",0,2,0,0,0,0,0,0,0,0,0,0
"ENSG00000154174",135,116,446,773,832,80,31,847,250,385,64,54
"ENSG00000154188",0,0,0,0,0,1,0,0,0,6,0,0
"ENSG00000154217",2,2,10,7,3,0,5,2,16,19,2,1
"ENSG00000154222",30,138,47,170,9,16,30,116,159,58,32,14
"ENSG00000154229",12,33,87,41,81,7,22,32,29,27,6,3
"ENSG00000154237",0,6,3,2,1,0,4,5,1,3,1,0
"ENSG00000154240",1,13,15,29,22,5,1,3,31,7,3,1
"ENSG00000154252",0,5,0,3,1,0,0,2,0,5,0,0
"ENSG00000154265",4,113,108,77,76,3,6,56,28,48,5,7
"ENSG00000154269",0,0,0,16,9,0,0,3,5,2,1,0
"ENSG00000154274",0,2,0,0,2,2,0,1,1,15,0,0
"ENSG00000154305",87,431,999,272,505,84,142,175,898,302,231,386
"ENSG00000154309",1,1,14,8,34,0,5,3,15,2,1,0
"ENSG00000154310",0,4,40,5,3,1,1,11,0,99,7,3
"ENSG00000154316",3,1,47,1,88,0,0,7,2,6,2,0
"ENSG00000154319",0,0,2,1,5,0,0,0,4,5,0,0
"ENSG00000154328",10,91,26,292,17,106,24,130,66,63,18,13
"ENSG00000154330",0,6,0,0,5,2,0,0,0,15,0,0
"ENSG00000154358",2,69,72,46,23,14,7,49,65,39,22,6
"ENSG00000154359",19,10,29,98,122,4,10,53,72,16,8,7
"ENSG00000154370",18,65,22,20,65,1,5,12,75,65,16,5
"ENSG00000154380",39,377,480,385,180,150,87,305,320,454,151,192
"ENSG00000154429",13,134,26,215,50,15,25,54,37,77,17,6
"ENSG00000154438",2,1,6,1,5,0,1,1,2,5,1,0
"ENSG00000154447",6,24,600,351,32,18,40,160,76,88,77,17
"ENSG00000154473",26,80,103,480,237,49,50,36,327,381,91,174
"ENSG00000154479",0,0,3,0,1,0,0,3,0,2,0,0
"ENSG00000154511",3,13,20,40,16,21,3,7,35,52,3,7
"ENSG00000154518",29,118,505,538,40,73,29,371,63,2170,179,61
"ENSG00000154553",0,1,1,1,5,0,0,0,2,0,0,0
"ENSG00000154556",1,6,6,0,16,2,3,0,1,24,4,0
"ENSG00000154582",5,69,79,87,92,2,58,62,76,5,14,8
"ENSG00000154639",20,20,22,67,144,16,11,88,60,50,40,27
"ENSG00000154640",41,289,43,51,41,8,6,38,16,119,22,4
"ENSG00000154642",20,27,28,61,19,3,6,8,15,50,308,7
"ENSG00000154654",164,167,316,321,325,57,703,153,1119,486,526,18
"ENSG00000154710",1,6,0,11,10,1,0,3,16,6,0,0
"ENSG00000154719",4,66,17,97,50,10,7,45,23,153,7,22
"ENSG00000154723",10,29,172,390,122,96,22,202,74,86,50,14
"ENSG00000154727",7,53,23,13,44,17,4,57,20,46,12,6
"ENSG00000154734",317,5,959,759,635,4,88,1454,1206,64,277,143
"ENSG00000154743",5,27,126,107,139,9,8,143,162,285,27,23
"ENSG00000154760",0,12,0,0,0,21,0,0,0,41,0,0
"ENSG00000154767",27,63,23,127,57,11,212,144,124,40,19,14
"ENSG00000154781",3,16,262,90,59,4,5,37,45,10,9,5
"ENSG00000154803",4,14,171,146,79,12,30,93,71,43,58,37
"ENSG00000154813",6,7,57,40,5,4,4,37,40,50,9,11
"ENSG00000154814",3,23,12,42,62,51,1,34,9,7,5,3
"ENSG00000154822",0,10,0,0,5,0,0,8,2,6,1,1
"ENSG00000154832",16,55,142,27,91,67,5,40,65,189,15,10
"ENSG00000154839",8,13,50,14,62,12,13,12,63,108,13,3
"ENSG00000154845",10,21,47,231,140,23,13,943,92,111,9,18
"ENSG00000154856",1,1,6,8,4,1,2,10,2,8,4,0
"ENSG00000154874",1,14,33,7,32,9,2,11,36,28,4,1
"ENSG00000154889",29,75,130,12,91,12,9,9,18,12,20,11
"ENSG00000154914",3,27,4,173,20,18,5,129,4,84,8,9
"ENSG00000154917",3,144,32,10,53,11,15,44,11,138,27,4
"ENSG00000154920",9,57,20,35,54,6,7,60,48,8,47,3
"ENSG00000154928",0,2,0,0,0,0,0,0,0,3,0,0
"ENSG00000154930",22,11,0,0,33,6,0,0,92,7,0,0
"ENSG00000154945",11,54,155,151,12,93,25,44,46,215,162,15
"ENSG00000154957",3,11,40,21,5,34,5,22,22,77,2,3
"ENSG00000154978",14,20,41,14,143,5,4,53,86,44,16,0
"ENSG00000155008",26,138,77,46,46,17,13,14,90,103,47,47
"ENSG00000155016",6,14,15,64,21,1,10,16,116,19,28,9
"ENSG00000155034",1,17,3,7,7,3,0,22,20,4,5,1
"ENSG00000155066",34,165,154,28,150,20,34,139,180,325,87,51
"ENSG00000155085",0,1,3,12,15,1,0,11,2,8,6,1
"ENSG00000155090",19,20,18,121,28,39,11,70,81,12,17,7
"ENSG00000155093",0,5,4,16,0,1,0,31,8,6,1,0
"ENSG00000155096",97,172,697,124,1778,66,21,87,85,176,141,115
"ENSG00000155097",120,720,259,190,266,25,49,202,12,690,55,16
"ENSG00000155099",4,6,1,30,52,10,2,34,4,42,7,2
"ENSG00000155100",42,173,144,307,148,12,16,93,127,134,50,24
"ENSG00000155111",38,297,428,371,181,17,91,48,169,283,186,13
"ENSG00000155115",14,31,90,65,245,7,23,108,59,25,5,25
"ENSG00000155158",6,159,12,34,55,4,2,22,15,22,6,1
"ENSG00000155189",15,26,95,95,129,51,10,97,57,23,65,20
"ENSG00000155229",25,216,34,16,109,12,25,112,73,102,10,22
"ENSG00000155252",5,26,66,86,88,7,21,3,50,43,14,2
"ENSG00000155254",30,27,109,20,113,50,148,54,34,105,37,1
"ENSG00000155256",21,28,79,71,103,16,30,68,34,21,17,6
"ENSG00000155275",3,4,12,142,7,4,18,34,5,16,29,2
"ENSG00000155287",6,48,5,34,9,1,2,16,16,76,6,5
"ENSG00000155304",23,159,166,335,284,17,19,169,396,161,29,12
"ENSG00000155313",18,51,78,35,64,34,77,90,99,61,22,31
"ENSG00000155324",3,5,33,51,88,5,3,36,9,23,4,1
"ENSG00000155329",6,48,74,102,20,3,20,92,49,29,33,12
"ENSG00000155330",1,12,51,10,70,2,2,5,24,54,12,1
"ENSG00000155363",20,136,140,190,65,7,7,81,153,4,13,7
"ENSG00000155366",37,96,64,201,342,211,3,200,320,653,128,13
"ENSG00000155367",0,0,1,0,3,0,0,1,0,0,0,0
"ENSG00000155368",304,139,40,503,284,28,103,682,79,163,374,227
"ENSG00000155380",237,286,211,782,413,97,182,363,415,546,442,24
"ENSG00000155393",52,104,29,110,103,33,9,38,201,112,260,9
"ENSG00000155438",25,53,81,192,413,23,42,14,45,167,333,60
"ENSG00000155463",19,214,368,581,28,20,10,317,38,352,40,40
"ENSG00000155506",153,624,1808,852,763,150,61,1877,203,720,287,221
"ENSG00000155508",17,16,184,99,131,8,22,5,252,89,40,6
"ENSG00000155530",0,1,0,5,7,1,1,3,9,1,0,0
"ENSG00000155542",0,2,24,12,21,5,2,7,19,9,4,1
"ENSG00000155545",7,15,29,250,46,33,26,66,5,32,82,14
"ENSG00000155561",71,59,43,419,343,123,59,420,703,243,56,31
